Date,Exercise,Reps,Weight(kg),Duration(s),Distance(m),Incline,Resistance,isWarmup,Note,multiplier
2026-06-29 04:24:43 +0000,Barbell Incline Bench Press, 5,42.5,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,Barbell Incline Bench Press, 5,52.5,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,Barbell Incline Bench Press, 8,62.5,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,Barbell Incline Bench Press, 7,62.5,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,EZ-Bar Curl, 8,20.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,EZ-Bar Curl, 8,25.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,EZ-Bar Curl, 10,30.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,EZ-Bar Curl, 10,30.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,Cable Row, 10,46.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,Cable Row, 10,54.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,Cable Row, 10,64.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,Cable Row, 10,64.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,Cable Rope Tricep Extension, 8,20.0,0.0,0.0,0.0,0.0,true,, 1.0
2026-06-29 04:24:43 +0000,Cable Rope Tricep Extension, 8,32.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,Cable Rope Tricep Extension, 8,32.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,Cable Rope Tricep Extension, 8,32.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,Skullcrusher, 8,20.0,0.0,0.0,0.0,0.0,true,, 1.0
2026-06-29 04:24:43 +0000,Skullcrusher, 6,34.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,Skullcrusher, 6,34.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-29 04:24:43 +0000,Skullcrusher, 6,34.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-26 04:21:05 +0000,Barbell Shoulder Press, 8,25.0,0.0,0.0,0.0,0.0,true,, 1.0
2026-06-26 04:21:05 +0000,Barbell Shoulder Press, 5,45.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-26 04:21:05 +0000,Barbell Shoulder Press, 5,45.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-26 04:21:05 +0000,Barbell Shoulder Press, 5,45.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-26 04:21:05 +0000,Bent Over Barbell Row, 8,45.0,0.0,0.0,0.0,0.0,true,, 1.0
2026-06-26 04:21:05 +0000,Bent Over Barbell Row, 4,75.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-06-26 04:21:05 +0000,Bent Over Barbell Row, 4,75.0,0.0,0.0,0.0,0.0,false,, 1.0
